#,source_name,source_description,site_url,rss_url,source_time,create_time,source_hash
1,Lenta.ru : Новости : Культура,"Новости, статьи, фотографии, видео. Семь дней в неделю, 24 часа в сутки.",https://lenta.ru,http://lenta.ru,2024-04-02 16:10:10,2024-04-09 11:44:13,b8179e2cf871d51b6d2a2af9c25aef80
27,РБК,news — последние новости сегодня на РБК.Ру,https://www.rbc.ru/tags/?tag=news,https://www.rbc.ru,2023-04-16 05:29:59,2024-04-09 10:51:41,4ee0324c2d511659509a641014ac438c
